item_id,item_name,item_price
0,Chips and Fresh Tomato Salsa,$2.39 
1,Izze,$3.39 
2,Nantucket Nectar,$3.39 
3,Chips and Tomatillo-Green Chili Salsa,$2.39 
4,Chicken Bowl,$16.98 
5,Chicken Bowl,$10.98 
6,Side of Chips,
7,Steak Burrito,$11.75 
8,Steak Soft Tacos,
9,Steak Burrito,$9.25 
10,Chips and Guacamole,$4.45 
11,Chicken Crispy Tacos,$8.75 
12,Chicken Soft Tacos,$8.75 
13,Chicken Bowl,$11.25 
14,Chips and Guacamole,$4.45 
15,Chips and Tomatillo-Green Chili Salsa,$2.39 
16,Chicken Burrito,$8.49 
17,Chicken Burrito,$8.49 
18,Canned Soda,$2.18 
19,Chicken Bowl,$8.75 
20,Chips and Guacamole,$4.45 
21,Barbacoa Burrito,$8.99 
22,Nantucket Nectar,$3.39 
23,Chicken Burrito,$10.98 
24,Izze,$3.39 
25,Chips and Fresh Tomato Salsa,$2.39 
26,Chicken Bowl,$8.49 
27,Carnitas Burrito,$8.99 
28,Canned Soda,$1.09 
29,Chicken Burrito,$8.49 
30,Chips and Tomatillo-Green Chili Salsa,$2.39 
31,Steak Burrito,$8.99 
32,Side of Chips,$1.69 
33,Carnitas Bowl,$8.99 
34,Bottled Water,$1.09 
35,Chicken Soft Tacos,$8.75 
36,Chicken Soft Tacos,$8.75 
37,Chips and Guacamole,$4.45 
38,Chips and Tomatillo Green Chili Salsa,$2.95 
39,Barbacoa Bowl,$11.75 
40,Chips,
41,Chips and Guacamole,$4.45 
42,Chicken Bowl,$11.25 
43,Steak Burrito,$11.75 
44,Chicken Salad Bowl,$8.75 
45,Chicken Burrito,$10.98 
46,Steak Burrito,$8.99 
47,Izze,$3.39 
48,Steak Burrito,$8.99 
49,Chips and Guacamole,$3.99 
50,Steak Burrito,$8.99 
51,Canned Soda,$2.18 
52,Chicken Burrito,$10.98 
53,Canned Soda,$1.09 
54,Steak Bowl,$8.99 
55,Chips and Fresh Tomato Salsa,$2.39 
56,Barbacoa Soft Tacos,$9.25 
57,Veggie Burrito,$11.25 
58,Barbacoa Bowl,$11.75 
59,Chips,$2.15 
60,Chips and Guacamole,$4.45 
61,Steak Soft Tacos,$9.25 
